ITID,Village,PMR,District,BirthPeriod,agecohort,Csex,order,AgeStopFeed,HSCAT,mother,kids,father,time,status
2000200955,40,Matri,2,1980-1989,>25,daughter,2nd,24,Medium,0.4,0.5,0.4,24,0
2000200955,40,Matri,2,1980-1989,>25,daughter,2nd,10,Medium,0.4,0.5,0.4,10,1
2000200955,40,Matri,2,1980-1989,>25,son,2nd,10,Medium,0.4,0.5,0.4,10,1
2000200973,40,Patri,2,>=1990,20-25,son,1st,6,Medium,0.13,0.38,0.416666667,6,1
2000200986,40,Neo,2,1980-1989,20-25,son,2nd,18,Medium,0.38,0.5,0.375,18,1
2000200986,40,Neo,2,1980-1989,20-25,daughter,2nd,15,Medium,0.38,0.5,0.375,15,1
2000201001,40,Neo,2,>=1990,20-25,daughter,2nd,6,Medium,0.38,0.5,0.375,6,1
2000201001,40,Neo,2,>=1990,20-25,son,2nd,8,Medium,0.38,0.5,0.375,8,1
2000201022,40,Matri,2,>=1990,<20,daughter,1st,15,Medium,0.14,0.36,0.428571429,15,1
2000201022,40,Matri,2,>=1990,20-25,son,2nd,15,Medium,0.14,0.36,0.428571429,15,1
2000201037,41,Duo,2,>=1990,20-25,son,1st,1,Medium,0.1,0.35,0.4,1,1
2000201043,41,Patri,2,1980-1989,>25,son,1st,15,Medium,0.2,0.4,0.4,15,1
2000201043,41,Patri,2,1980-1989,>25,daughter,2nd,17,Medium,0.2,0.4,0.4,17,1
2000201072,32,Duo,2,1980-1989,>25,daughter,1st,15,Big,0.41,0.3,0.0625,15,1
2000201097,32,Patri,2,>=1990,<20,daughter,1st,15,Big,0.19,0.38,0.4375,15,1
2000201097,32,Patri,2,>=1990,20-25,son,2nd,9,Big,0.19,0.38,0.4375,9,1
2000201097,32,Patri,2,>=1990,20-25,son,2nd,0,Big,0.19,0.38,0.4375,0,1
2000201110,32,Patri,2,>=1990,20-25,daughter,1st,24,Medium,0.25,0.42,0.416666667,24,1
2000201110,32,Patri,2,>=1990,>25,daughter,2nd,15,Medium,0.25,0.42,0.416666667,15,1
2000201121,32,Patri,2,1980-1989,>25,son,1st,12,Medium,0.3,0.4,0.416666667,12,1
2000201172,31,Matri,2,1980-1989,>25,son,1st,12,Small,0.17,0.42,0.333333333,12,1
2000201201,31,Patri,2,>=1990,20-25,son,1st,27,Medium,0.17,0.38,0.416666667,24,0
2000201201,31,Patri,2,>=1990,20-25,son,2nd,24,Medium,0.17,0.38,0.416666667,24,1
2000201238,31,Duo,2,1980-1989,>25,daughter,2nd,12,Medium,0.3,0.45,0.4,12,1
2000201249,31,Patri,2,1980-1989,>25,daughter,2nd,12,Big,0.25,0.42,0.4375,12,1
2000201249,31,Patri,2,1980-1989,>25,son,2nd,12,Big,0.25,0.42,0.4375,12,1
2000201271,31,Neo,2,1980-1989,>25,daughter,2nd,12,Medium,0.38,0.5,0.375,12,1
2000201271,31,Neo,2,1980-1989,>25,daughter,2nd,15,Medium,0.38,0.5,0.375,15,1
2000201295,31,Neo,2,>=1990,20-25,daughter,1st,8,Small,0.17,0.38,0.25,8,1
2000201299,31,Neo,2,1980-1989,>25,daughter,2nd,12,Medium,0.38,0.5,0.375,12,1
2000201350,31,Patri,2,1980-1989,>25,son,2nd,28,Medium,0.38,0.5,0.375,24,0
2000201376,31,Patri,2,>=1990,20-25,daughter,1st,12,Medium,0.33,0.5,0.4375,12,1
2000201381,31,Patri,2,>=1990,>25,daughter,1st,10,Medium,0.17,0.42,0.4375,10,1
2000201384,31,Patri,2,1980-1989,20-25,daughter,2nd,12,Medium,0.33,0.5,0.4375,12,1
2000300006,37,Duo,2,1980-1989,20-25,daughter,1st,6,Big,0.27,0.16,0,6,1
2000300006,37,Duo,2,1980-1989,20-25,daughter,2nd,6,Big,0.27,0.16,0,6,1
2000300097,37,Patri,2,<1980,>25,daughter,1st,16,Medium,0.21,0.39,0.428571429,16,1
2000300097,37,Patri,2,<1980,>25,daughter,2nd,14,Medium,0.21,0.39,0.428571429,14,1
2000300097,37,Patri,2,<1980,>25,daughter,2nd,12,Big,0.21,0.39,0.428571429,12,1
2000300113,37,Duo,2,<1980,>25,son,2nd,19,Big,0.4,0.35,0,19,1
2000300113,37,Duo,2,<1980,>25,son,2nd,,Big,0.4,0.35,0,,
2000300157,37,Duo,2,>=1990,20-25,son,1st,9,Big,0.38,0.25,0,9,1
2000300232,37,Duo,2,1980-1989,20-25,daughter,2nd,24,Big,0.28,0.17,0,24,0
2000300270,37,Duo,2,>=1990,20-25,son,1st,14,Big,0.33,0.18,0,14,0
2000300281,38,Duo,2,>=1990,20-25,daughter,1st,24,Big,0.33,0.21,0,24,0
2000300281,38,Duo,2,>=1990,20-25,son,2nd,24,Big,0.33,0.21,0,24,0
2000300298,38,Neo,2,1980-1989,>25,daughter,2nd,12,Small,0.33,0.5,0,12,1
2000300336,38,Duo,2,1980-1989,>25,son,2nd,36,Big,0.37,0.22,0,24,0
2000300337,38,Duo,2,<1980,>25,daughter,2nd,3,Big,0.38,0.25,0,3,1
2000300411,38,Duo,2,<1980,>25,daughter,1st,1,Big,0.34,0.2,0,1,1
2000300467,38,Duo,2,<1980,>25,son,1st,12,Big,0.45,0.38,0,12,1
2000300501,38,Duo,2,1980-1989,>25,daughter,2nd,14,Big,0.39,0.23,0,14,1
2000300504,38,Duo,2,1980-1989,>25,daughter,2nd,14,Big,0.46,0.34,0,14,1
2000300504,38,Duo,2,1980-1989,>25,son,2nd,14,Big,0.46,0.34,0,14,1
3000000030,1,Patri,3,<1980,>25,daughter,1st,3,Medium,0.07,0.21,0.571428571,3,1
3000000057,1,Patri,3,1980-1989,<20,daughter,2nd,12,Big,0.21,0.46,0.571428571,12,1
3000000057,1,Patri,3,1980-1989,20-25,son,2nd,12,Big,0.21,0.46,0.571428571,12,1
3000000187,1,Neo,3,1980-1989,>25,daughter,1st,8,Medium,0.29,0.29,0.142857143,8,1
3000000187,1,Neo,3,1980-1989,>25,son,2nd,12,Medium,0.29,0.29,0.142857143,12,1
3000000197,1,Patri,3,1980-1989,>25,son,1st,4,Medium,0.14,0.32,0.357142857,4,1
3000000197,1,Patri,3,1980-1989,>25,son,2nd,3,Medium,0.14,0.32,0.357142857,3,1
3000000265,1,Neo,3,>=1990,<20,son,1st,3,Medium,0.21,0.36,0.357142857,3,1
3000000265,1,Neo,3,>=1990,<20,son,2nd,3,Medium,0.21,0.36,0.357142857,3,1
3000000265,1,Neo,3,>=1990,20-25,daughter,2nd,3,Medium,0.21,0.36,0.357142857,3,1
3000000273,1,Neo,3,1980-1989,20-25,son,2nd,2,Big,0.21,0.43,0.5,2,1
3000000273,1,Neo,3,1980-1989,20-25,daughter,2nd,3,Big,0.21,0.43,0.5,3,1
3000000322,1,Neo,3,1980-1989,>25,son,2nd,12,Medium,0.43,0.39,0.214285714,12,1
3000000362,1,Patri,3,1980-1989,20-25,son,2nd,12,Medium,0.21,0.34,0.321428571,12,1
3000000362,1,Patri,3,1980-1989,20-25,son,2nd,12,Medium,0.21,0.34,0.321428571,12,1
3000000389,1,Patri,3,>=1990,>25,son,2nd,3,Big,0.21,0.39,0.535714286,3,1
3000000421,1,Neo,3,<1980,20-25,son,2nd,12,Medium,0.19,0.25,0.1875,12,1
3000000566,2,Neo,3,1980-1989,20-25,daughter,2nd,3,Big,0.19,0.34,0.375,3,1
3000000577,2,Neo,3,>=1990,<20,son,2nd,2,Medium,0.25,0.31,0.25,2,1
3000000577,2,Neo,3,>=1990,<20,daughter,2nd,2,Medium,0.25,0.31,0.25,2,1
3000000606,2,Neo,3,>=1990,>25,son,2nd,2,Big,0.44,0.38,0.1875,2,1
3000000636,2,Patri,3,<1980,>25,daughter,2nd,12,Big,0.25,0.39,0.40625,12,1
3000000671,2,Neo,3,1980-1989,>25,son,2nd,12,Medium,0.13,0.3,0.34375,12,1
3000000688,2,Patri,3,>=1990,20-25,daughter,1st,1,Medium,0.25,0.25,0.34375,1,1
3000000810,2,Patri,3,1980-1989,20-25,daughter,1st,3,Medium,0.14,0.25,0.34375,3,1
3000000810,2,Patri,3,1980-1989,>25,son,2nd,2,Medium,0.14,0.25,0.34375,2,1
3000000835,2,Matri,3,1980-1989,20-25,son,2nd,12,Medium,0.36,0.29,0.15,12,1
3000000835,2,Matri,3,1980-1989,20-25,daughter,2nd,2,Medium,0.36,0.29,0.15,2,1
3000000909,2,Patri,3,>=1990,20-25,daughter,2nd,2,Big,0.21,0.43,0.5,2,1
3000000992,2,Patri,3,>=1990,20-25,daughter,2nd,13,Medium,0.21,0.35,0.25,13,0
3000000992,2,Patri,3,>=1990,20-25,daughter,2nd,16,Medium,0.21,0.35,0.25,16,0
3000000895,2,Patri,3,>=1990,20-25,daughter,1st,NA,Medium,0.07,0.29,0.357142857,NA,NA
3000001666,3,Matri,3,>=1990,20-25,daughter,1st,4,Medium,0.28,0.16,0.1,4,1
3000002008,3,Matri,3,1980-1989,20-25,son,1st,10,Medium,0.23,0.19,0.05,10,1
3000002038,3,Patri,3,1980-1989,20-25,daughter,1st,2,Medium,0.15,0.26,0.275,2,1
3000002038,3,Patri,3,1980-1989,20-25,son,2nd,2,Medium,0.15,0.26,0.275,2,1
3000002038,3,Patri,3,1980-1989,>25,daughter,2nd,2,Medium,0.15,0.26,0.275,2,1
3000002260,3,Matri,3,1980-1989,20-25,daughter,1st,4,Medium,0.24,0.24,0.15,4,1
3000002260,3,Matri,3,1980-1989,20-25,daughter,2nd,6,Medium,0.24,0.24,0.15,6,1
3000002260,3,Matri,3,1980-1989,20-25,son,2nd,13,Medium,0.24,0.24,0.15,13,1
3000002303,4,Neo,3,1980-1989,20-25,son,2nd,6,Medium,0.15,0.23,0.2,6,1
3000002303,4,Neo,3,1980-1989,20-25,son,2nd,3,Medium,0.15,0.23,0.2,3,1
3000002525,4,Matri,3,1980-1989,20-25,son,2nd,6,Medium,0.25,0.25,0.2,6,1
3000002590,4,Patri,3,>=1990,<20,daughter,1st,NA,Medium,0.1,0.25,0.3,NA,NA
3000002590,4,Patri,3,>=1990,20-25,son,2nd,5,Medium,0.1,0.25,0.3,5,1
3000002616,4,Patri,3,>=1990,>25,son,2nd,11,Medium,0.15,0.28,0.3,11,1
3000002674,4,Matri,3,<1980,>25,daughter,2nd,5,Medium,0.2,0.25,0.2,5,1
3000002719,4,Patri,3,>=1990,20-25,daughter,1st,NA,Big,0.15,0.29,0.325,NA,NA
3000002719,4,Patri,3,>=1990,20-25,son,2nd,NA,Big,0.15,0.29,0.325,NA,NA
3000002719,4,Patri,3,>=1990,20-25,son,2nd,7,Big,0.15,0.29,0.325,7,1
3000002927,4,Patri,3,>=1990,20-25,son,1st,30,Medium,0.13,0.23,0.25,24,0
3000002927,4,Patri,3,>=1990,>25,son,2nd,11,Medium,0.13,0.28,0.25,11,1
3000002964,4,Patri,3,>=1990,<20,son,1st,8,Big,0.13,0.3,0.34375,8,1
3000002964,4,Patri,3,>=1990,20-25,son,2nd,8,Big,0.13,0.3,0.34375,8,1
3000003018,4,Patri,3,1980-1989,>25,daughter,2nd,18,Big,0.19,0.31,0.3125,18,1
3000003018,4,Patri,3,1980-1989,>25,son,2nd,8,Big,0.19,0.31,0.3125,8,1
3000003029,4,Patri,3,1980-1989,>25,son,1st,2,Big,0.19,0.39,0.46875,2,1
3000003029,4,Patri,3,1980-1989,>25,daughter,2nd,2,Big,0.19,0.39,0.46875,2,1
3000003029,4,Patri,3,1980-1989,>25,daughter,2nd,2,Big,0.19,0.39,0.46875,2,1
3000003083,51,Patri,3,>=1990,20-25,son,1st,5,Medium,0.06,0.23,0.28125,5,1
3000003326,51,Patri,3,<1980,>25,daughter,1st,4,Small,0.1,0.2,0.46875,4,1
3000003354,51,Patri,3,>=1990,<20,son,1st,1,Medium,0.1,0.3,0.46875,1,1
3000003383,51,Patri,3,>=1990,<20,son,1st,7,Big,0.25,0.5,0.583333333,7,1
3000003383,51,Patri,3,>=1990,<20,daughter,2nd,6,Big,0.25,0.5,0.583333333,6,1
3000003383,51,Patri,3,>=1990,20-25,daughter,2nd,7,Big,0.25,0.5,0.583333333,7,1
3000003407,51,Patri,3,>=1990,<20,daughter,1st,7,Medium,0.08,0.25,0.25,7,1
3000003443,51,Matri,3,>=1990,20-25,daughter,1st,36,Medium,0.38,0.31,0.083333333,24,0
3000003640,51,Patri,3,>=1990,20-25,son,1st,12,Medium,0.14,0.32,0.357142857,12,1
3000003640,51,Patri,3,>=1990,>25,daughter,2nd,12,Medium,0.14,0.32,0.357142857,12,1
4000001704,8,Matri,4,>=1990,20-25,daughter,2nd,48,Medium,0.3,0.35,0.2,24,0
4000001704,8,Matri,4,>=1990,<20,son,2nd,12,Medium,0.3,0.35,0.2,12,1
4000001714,8,Patri,4,>=1990,<20,daughter,1st,5,Medium,0.2,0.4,0.4,5,1
4000001714,8,Patri,4,>=1990,<20,son,2nd,1,Medium,0.2,0.4,0.4,1,0
4000001735,8,Matri,4,>=1990,20-25,daughter,1st,36,Small,0.33,0.33,0.333333333,24,0
4000001766,8,Patri,4,>=1990,20-25,daughter,1st,8,Small,0.33,0.33,0.333333333,8,1
4000001766,8,Patri,4,1980-1989,>25,son,2nd,3,Small,0.33,0.33,0.333333333,3,0
4000001986,8,Patri,4,>=1990,<20,son,1st,12,Big,0.2,0.35,0.35,12,1
